Levels,Question,A,B,C,D
1 (Rookie),Select a Hobby:,Hiking,Cooking,Reading,Painting
,What’s your dream home like?,A cozy house with a big backyard.,A modern penthouse in a vibrant city.,A book-filled loft with a dedicated study.,A cottage by the sea with a creative studio.
,Choose a motto to live by:,"""Fortune favors the bold.""","""Home is where the heart is.""","""Follow your heart.""","""Knowledge is power."""
,What’s your favorite type of movie?,Heartwarming family dramas or comedies.,Action-packed adventures or thrillers.,Mind-bending sci-fi or documentaries.,Romantic stories or artistic indie films.
,Would you rather spend a year traveling the world or a year living in one perfect location?,Traveling the world,Living in one perfect location,,
,Would you prefer to never age physically or never age mentally?,Never age physically,Never age mentally,,
,Would you rather work from home or work in an office?,Work from home,Work in an office,,
,"If you were an animal, which one would you be?","A dolphin—playful, intelligent, and empathetic.", An owl—observant and full of wisdom.," An elephant—strong, wise, and nurturing.","A lion—bold and fearless, leader of the pack."
,Would you rather live in a busy city or a quiet countryside?,Busy city,Quiet countryside,,
,Which one do you need to hear today?,"""Trust yourself; you know more than you think.""","""Keep going; the best is yet to come.""",,
,Which type of challenge excites you the most?,Trying new ways to express yourself.,Competing in high-pressure situations.,Working on long-term projects that need commitment.,Solving tricky puzzles or problems.
,Would you rather have unlimited free travel or unlimited free food for life?,Unlimited travel,Unlimited food,,
,How do you express love and affection to others?,More through words,More through actions,,
,Would you rather master a musical instrument or a foreign language?,Musical instrument,Foreign language,,
,What's your ideal way to spend a rainy day?,Dancing in the rain and embracing the weather.,Baking cookies and enjoying them fresh from the oven.,Diving into a book you've been meaning to read.,Painting or crafting while listening to the rain.
,Would you rather have unlimited free time or unlimited money?,Unlimited free time,Unlimited money,,
,"If you could improve one part of society, what would it be?",Promote empathy and emotional well-being.,Improve education and access to information.,Strengthen community bonds and support systems.,Encourage innovation and entrepreneurship.
,Would you rather wake up early or stay up late?,Wake up early,Stay up late,,
,How do you prefer to spend your free time?,Trying out a new sport or exciting activity.,Gardening or cooking your favorite recipes.,Reading books or solving puzzles.,Creating art or listening to music.
,Would you prefer to read a self-help book or watch a motivational video?,Read a self-help book,Watch a motivational video,,
2 (Newcomer),Which personal mantra resonates with you the most?,"""Listen to the whispers of your soul.""","""Take the leap and build your wings on the way down.""","""Slow and steady wins the race.""","""Every question is a quest for knowledge."""
,Would you rather use a coupon to save money or earn rewards points for future savings?,Use coupon now,Earn rewards points,,
,Would you prefer to lead a team or work independently on projects?,Lead a team,Work independently,,
,Would you prefer to live in a world where everyone can read minds or where no one can lie?,No one can lie,Everyone can read minds,,
,Would you rather have a high-paying job with high stress or a lower-paying job with low stress?,"High pay, high stress","Low pay, low stress",,
,"If you had to describe your ideal day in three words, what would they be?","Productive, exciting, fulfilling","Calm, peaceful, reflective","Adventurous, spontaneous, fun","Creative, inspiring, meaningful"
,Which meal sounds most appealing right now?,Sampling exotic dishes at a new restaurant.,"A homemade meal with fresh, local ingredients.","A trendy café with unique, gourmet options.",A comforting dish that reminds you of childhood.
,Would you rather have unlimited knowledge or unlimited creativity?,Unlimited knowledge,Unlimited creativity,,
,What’s your favorite season?,Summer—full of energy and long days.,Autumn—harvest time and cozy evenings.,Spring—a time of growth and renewal.,"Winter—quiet, introspective, and serene."
,Would you prefer to live in a world where everyone is honest or where everyone is kind?,Everyone is honest,Everyone is kind,,
,Which one feels more like you?,"""Small steps every day lead to big changes.""","""Go all in, or don’t go at all.""",,
