Levels,Question,A,B,C,D
16 (Contemplator),Which one speaks to you now?,"""Live life without limits.""","""Trust in life’s timing.""",,
,Would you rather have a 90% chance to win $10 or a 10% chance to win $100?,90% chance at $10,10% chance at $100,,
,Would you rather have a rewind button or a pause button for your life?,Rewind button,Pause button,,
,Which act sounds more appealing?,Bring coffee to your coworkers.,Share words of encouragement online.,,
,Which would you prefer doing?,Help someone fix a flat tire.,Donate art supplies to a school.,,
,"If you spill something, do you say:","""I can't do anything right.""","""Oops, accidents happen.""",,
,How do you prefer to track your personal development progress?,Keeping a detailed journal,Using digital apps and tools,Regularly reviewing goals with a mentor,Reflecting through meditation or mindfulness
,Would you prefer to develop your networking skills or your creative skills?,Networking skills,Creative skills,,
,"When discussing important matters, do you prefer:",Sending a thoughtful message to organize your thoughts.,Having an in-person conversation to connect directly.,,
,"In group conversations, do you tend to:",Listen carefully before sharing your thoughts.,Share your ideas as they come to you.,,
,"When giving feedback, do you:",Focus on being honest and direct.,Emphasize encouragement and positivity.,,
,Which one aligns more with you today?,"""Believe in your potential.""","""Relax and find peace.""",,
,Would you rather be a successful stock trader or a renowned economist?,Stock trader,Economist,,
,Would you rather be a master brewer or a master chocolatier?,Brewer,Chocolatier,,
,Would you rather design jewelry or design furniture?,Jewelry,Furniture,,
,Would you rather get a small discount now or a larger discount after collecting loyalty points?,Small discount now,Larger discount later,,
,"When you're late once, do you think:","""I'm always messing things up.""","""I'll plan better next time.""",,
,"In social settings, do you enjoy:",Deep one-on-one conversations.,Lively group discussions.,,
,"When resolving conflicts, do you:",Address the issue immediately to clear the air.,Take time to reflect before approaching the topic.,,
,Do you prefer communicating through:,Text messages or emails for clarity.,Phone calls or face-to-face for personal connection.,,
,"When meeting new people, do you:",Wait for them to initiate conversation.,Take the initiative to introduce yourself.,,
,"In team projects, do you:",Prefer clear roles and responsibilities outlined.,Enjoy collaborative brainstorming without strict roles.,,
,"When planning events, do you:",Handle all the details yourself.,Delegate tasks among the group.,,
,Do you express yourself better:,By writing your thoughts down.,Through speaking and discussing ideas out loud.,,
,"When a friend needs support, do you:",Offer practical advice to solve their problem.,Provide a listening ear and emotional support.,,
,What aspect of personal development do you find most challenging?,Balancing personal and professional life,Managing time effectively,Maintaining motivation,Setting and achieving goals
,"If someone gives you a strange look, do you assume:","""They think badly of me.""","""Maybe they're lost in thought.""",,
,Which one feels like it fits your life?,"""Go for it; make it happen.""","""Enjoy the quiet moments.""",,
,Which makes you feel better?,Offer water or snacks to delivery drivers.,Plant flowers in a community garden.,,
,Would you prefer to focus on self-improvement through reflection or through action?,Through reflection,Through action,,
,"In conversations, do you:",Stick to facts and logical arguments.,Use stories and examples to illustrate points.,,
,"When coordinating plans, do you prefer:",Setting a schedule well in advance.,Being spontaneous and flexible with timing.,,
,Would you rather be a famous comedian or a dramatic actor/actress?,Comedian,Dramatic actor/actress,,
,Would you rather be a renowned chef specializing in desserts or in gourmet meals?,Desserts,Gourmet meals,,
,Would you rather be a leading voice in climate change or in human rights?,Climate change,Human rights,,
,Would you rather be an art curator or an art critic?,Art curator,Art critic,,
,Would you rather be a professional race car driver or a professional pilot?,Race car driver,Pilot,,
,Do you find it easier to express yourself:,In person where you can use body language.,Through digital means where you can think before replying.,,
,"When you disagree with someone, do you:",Address it directly and discuss openly.,Choose your words carefully to avoid conflict.,,
,"In a new environment, do you:",Observe quietly before engaging.,Jump right in and introduce yourself.,,
,"When telling a story, do you:",Focus on the key points and keep it brief.,Include vivid details and build suspense.,,
,Which one do you connect with today?,"""Chase your dreams fearlessly.""","""Find joy in every breath.""",,
,Which act appeals to you more?,Offer to help someone learn to use technology.,Clean up after an event even if you're not asked.,,
,Do you prefer conversations that are:,Structured with a clear purpose.,Open-ended and free-flowing.,,
,"When working with others, do you:",Prefer clear instructions and expectations.,Like to explore and figure things out together.,,
,"In a disagreement, is your tendency to:",Stand firm on your perspective.,Seek a compromise that satisfies everyone.,,
,"When learning new information, do you:",Prefer to read and research on your own.,Enjoy discussing ideas with others.,,
,Do you communicate best when:,You have time to prepare what to say.,Speaking spontaneously in the moment.,,
,"When making decisions, do you:",Analyze the details thoroughly before acting.,Go with your intuition and feelings.,,
,"In expressing appreciation, do you:",Say it directly in person.,Write a heartfelt note.,,
17 (Examiner),"On a free weekend, do you prefer:",A) Planning adventurous outings.,Relaxing at home with no set plans.,,
,"When it comes to your daily routine, do you enjoy:",Having a structured schedule.,Going with the flow each day.,,
,How do you define success?,Achieving personal and professional goals,Building strong relationships,Gaining knowledge and understanding,Expressing creativity and passion
,Which one resonates more today?,"""You’re capable of amazing things.""","""Let go and allow things to unfold.""",,
,Would you rather invest in a safe but low-return fund or a risky but high-return stock?,"Safe, low-return fund","Risky, high-return stock",,
,"If you miss a workout, do you feel:","""I can get back on track tomorrow.""","""I've completely failed my fitness goals.""",,
,"For vacation, would you rather:",Travel to a bustling city.,Escape to a quiet countryside.,,
,"In terms of fitness, do you prefer:",Joining a gym or fitness classes.,Staying active through daily activities.,,
,"When dining, do you enjoy:",Trying new and exotic cuisines.,Sticking to your favorite familiar dishes.,,
,Do you like to spend your evenings:,Socializing with friends.,Enjoying personal time alone.,,
,"For your living space, do you prefer:",A modern minimalist design.,A cozy and eclectic atmosphere.,,
,"In your career, do you value:",Advancement and ambition.,Work-life balance and contentment.,,
,"When shopping, do you tend to:",Make spontaneous purchases.,Plan and research before buying.,,
,Do you feel more energized by:,Exploring new places.,Staying in familiar environments.,,
,"When it comes to technology, do you:",Always seek out the latest gadgets.,Use only what you need.,,
,"In social settings, do you prefer:",Large gatherings and parties.,Small groups or one-on-one time.,,
,"For entertainment, do you enjoy:",Watching live performances.,Streaming shows or movies at home.,,
,Do you approach goals by:,Setting ambitious targets.,Taking things one step at a time.,,
,"When decorating your home, do you:",Follow the latest design trends.,Showcase personal mementos.,,
,Do you prefer to:,Wake up early and start your day.,Stay up late and enjoy the night.,,
,What drives your decision-making?,Personal values and beliefs,External advice and opinions,Intuition and feelings,Logic and reason
,Which makes you feel better?,Give someone a ride who needs it.,Leave a friendly note on a neighbor's door.,,
,Which do you like more?,Send a funny meme to cheer up a friend.,Help a neighbor with yard work.,,
,Which act would you choose?,Give someone a sincere compliment.,Volunteer at a local hospital.,,
,Which one do you need right now?,"""Be brave; take the leap.""","""Give yourself permission to rest.""",,
,"When you feel anxious, do you believe:","""Something bad is definitely going to happen.""","""These feelings will pass.""",,
,"If you receive mixed feedback, do you focus on:",Both the positive and areas to improve.,Only the negative comments.,,
,"In your free time, do you like:",Engaging in hobbies that challenge you.,Relaxing without specific activities.,,
,"When eating out, do you:",Choose trendy new restaurants.,Visit your favorite local spots.,,
,"For exercise, do you:",Follow a strict fitness regimen.,Stay active through casual movement.,,
,Do you enjoy a lifestyle that is:,Fast-paced and dynamic.,Calm and laid-back.,,
,"When it comes to learning, do you prefer:",Formal education and classes.,Self-directed exploration.,,
,"In your wardrobe, do you choose:",Fashion-forward outfits.,"Comfortable, classic pieces.",,
,Do you handle stress by:,Staying busy and active.,Taking time to rest and reflect.,,
,"When traveling, do you:",Plan every detail in advance.,Be spontaneous and adaptable.,,
,"In terms of financial habits, do you:",Save diligently for the future.,Spend on experiences now.,,
,Do you prefer to live:,In the heart of the city.,In a quiet suburban or rural area.,,
,Which one feels more like your journey?,"""Embrace your uniqueness.""","""Trust the journey, even if it’s slow.""",,
,"For your daily commute, do you:",Drive your own vehicle.,Use public transportation or walk.,,
,"When it comes to hobbies, do you:",Focus deeply on a few passions.,Explore a variety of interests.,,
,Do you enjoy working:,In a collaborative team environment.,Independently on your own projects.,,
,"In your social life, are you:",Always meeting new people.,Nurturing long-term friendships.,,
,What motivates you more?,Achieving personal success,Helping others,Discovering new knowledge,Expressing creativity
,"For special occasions, do you:",Host big celebrations.,Keep things intimate and low-key.,,
,"When faced with a challenge, do you:",Dive in and take immediate action.,Plan carefully before proceeding.,,
,Do you find fulfillment in:,Achieving professional success.,Cultivating personal happiness.,,
,"In your ideal home, do you value:",Modern amenities and technology.,Comfort and traditional charm.,,
,"When setting priorities, do you:",Focus on career and ambition.,Emphasize relationships and leisure.,,
,Which act appeals to you more?,Write positive messages with sidewalk chalk.,Share your favorite recipe with others.,,
,Which would you enjoy doing more?,Participate in a neighborhood cleanup.,Donate to a cause you care about.,,
18 (Analyzer),Do you prefer to communicate:,Frequently through digital means.,Less often but with in-depth conversations.,,
,"For your physical environment, do you:",Keep everything organized and tidy.,Feel comfortable with a bit of clutter.,,
,"When attending events, do you:",Enjoy being in the spotlight.,Prefer observing from the sidelines.,,
,"In terms of diet, do you:",Follow a strict eating plan.,Eat intuitively based on cravings.,,
,Which one do you relate to more today?,"""You are unstoppable.""","""Let life surprise you.""",,
,Do you recharge by:,Being around others.,Spending time alone.,,
,"For personal development, do you:",Set specific goals to achieve.,Allow growth to happen naturally.,,
,"When it comes to pets, do you:",Love having them around.,Prefer not to have any.,,
,Do you enjoy entertainment that is:,Exciting and high-energy.,Thought-provoking and mellow.,,
,"In your approach to life, are you:",Future-focused with plans.,Present-focused enjoying the now.,,
,"When dealing with problems, do you:",Analyze logically to find solutions.,Trust your intuition and feelings.,,
,Do you prefer your days to be:,Filled with scheduled activities.,Open for spontaneous choices.,,
,"In fashion, do you:",Keep up with current trends.,Wear what feels right to you.,,
